ST_NUM,ST_NAME,CITY,ZIP_CODE,TOTAL_VALUE,Year,long,lat
15,ST GERMAIN ST,BOSTON,2115,"1,694,800.00",1/1/24,-71.0863842,42.3457113
17,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0862913,42.3456955
19,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0860128,42.3456479
21,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0861408,42.3456682
23,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0860662,42.3456575
25,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0859931,42.3456474
27,ST GERMAIN ST,BOSTON,2115,"1,512,200.00",1/1/24,-71.0859199,42.3456321
29,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.0858271,42.3456534
31,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.085769,42.3456156
33,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.0856878,42.3455925
35,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.0855949,42.3455767
37,ST GERMAIN ST,BOSTON,2115,"1,414,938.00",1/1/24,-71.0855021,42.345598
39,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.0854441,42.3455602
41,ST GERMAIN ST,BOSTON,2115,"1,413,794.00",1/1/24,-71.0853628,42.3455371
43,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.08527,42.3455584
45,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0852119,42.3455392
47,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0850843,42.3455267
49,ST GERMAIN ST,BOSTON,2115,"1,734,800.00",1/1/24,-71.0850109,42.3455061
51,ST GERMAIN ST,BOSTON,2115,"1,257,214.00",1/1/24,-71.0849914,42.3455108
